gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Met	2880.95509343047	-0.677462575439733	0.152326555707643	3.51355386230123e-07	0.000182769524200285
Thbs3	2847.31921989541	-0.833649699259334	0.199235298852785	4.47036932128145e-07	0.000226578949676335
AI197445	148.855948925355	-0.783442575177104	0.184993959015733	4.97818299621038e-07	0.000246009358215226
Chodl	21.6136395909114	2.70365493629172	2.03169351103211	5.36536766133259e-07	0.000258676152589174
Fanca	465.923995707589	0.593151989277669	0.136645955805915	5.75230664013305e-07	0.000270728203227405
Per3	3305.17983861985	1.76659906337022	0.514760261971612	6.05745131382127e-07	0.000278459628186756
S1pr2	1764.84197667207	0.699104869839263	0.164487706834978	6.86903021625015e-07	0.000301733600632482
Tef	10699.6795020803	1.2101026397962	0.34227004376967	6.83072675245804e-07	0.000301733600632482
Fcna	66.5127706781083	1.79764455300758	0.538171428841319	7.46164499198411e-07	0.0003144329378616
Arrdc4	2017.31799936563	-0.702176314749883	0.166246539223826	7.47627261572076e-07	0.0003144329378616
Podn	1783.87416258186	0.808422512196321	0.198928948852058	7.98529836529631e-07	0.000328844568305859
Cdr2	1567.27654256768	-0.564563405272126	0.13348058260103	8.27558016364906e-07	0.000333843659377247
Rasgef1b	2507.2969324379	-0.975675694217378	0.26130069615331	9.06494132859822e-07	0.000358373390484802
Eif5a2	903.250527529939	0.566145040358264	0.135221020441325	9.67490313156157e-07	0.000374987863140348
Mmp2	5141.07436410322	0.998318727295038	0.274423292363444	1.10076669936261e-06	0.000418439525890398
Dclk3	92.0197043874941	1.35511252373018	0.410298464389509	1.12639604451174e-06	0.000420103219091765
P4ha1	4307.00823149965	-0.636113208169297	0.154643044040073	1.27904463563067e-06	0.000468201394676137
Kcnh2	486.50887722447	0.653189467378828	0.159664745119517	1.34606917883127e-06	0.000476150686677792
Fermt2	14075.6190398341	-0.494980022939565	0.123219355948061	1.34893703920455e-06	0.000476150686677792
Gtse1	209.52972640886	1.29279913620569	0.398128735240213	1.45275410536535e-06	0.000503799831592227
Wipf3	870.856277456828	0.732945034902615	0.184425118167884	1.56051139875492e-06	0.000531838427917044
Aen	1954.90223380006	0.644093026296355	0.160583921455186	1.7835148876793e-06	0.000597537945504351
Cd109	151.720622967975	0.968385114653383	0.280187494066667	2.24394509772605e-06	0.00072926036449615
Pfkp	3422.12660960603	-0.407384616981067	0.109816766162093	2.25046199394269e-06	0.00072926036449615
Pappa2	125.966882050656	1.41124509103597	0.471132280195294	2.47720462077974e-06	0.000773786334339526
