gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Glp1r	6861.2875338468	1.04833695058469	0.204751685470195	5.1200406393592	3.05469821550046e-07	0.000161235699523301
Nuak1	1813.24106936868	1.29542757086684	0.253472955429551	5.11071316729445	3.20944948705504e-07	0.000164698249510708
Fzd7	2200.55349357189	0.805589443632162	0.1583513975382	5.0873529135594	3.63095788711166e-07	0.000167183712889974
Cr2	418.880207370991	1.7618609157401	0.346581019371772	5.08354704170967	3.70450775591288e-07	0.000167183712889974
Prr5l	1608.48191678782	1.02602415190079	0.201844245216841	5.08324698976945	3.71036712595481e-07	0.000167183712889974
Mtss1	4056.23100058802	0.607603256756527	0.119376870871575	5.08979044533829	3.58459424606449e-07	0.000167183712889974
Lbh	13927.9849333656	0.941087031970639	0.185059507704565	5.08532116854553	3.6700449431678e-07	0.000167183712889974
Bcl11a	312.952029970522	1.85185420483934	0.36486539463081	5.07544489581737	3.86590383087099e-07	0.00017004454136074
Il5ra	75.0267673950117	2.65313289259319	0.524805901444135	5.05545552230344	4.29364689471991e-07	0.000174512874282496
Tspan15	3285.67626145496	0.614673181147069	0.121505694764088	5.05880141947668	4.21899943855244e-07	0.000174512874282496
Tox3	456.303803061071	0.959294687228449	0.189572123767773	5.06031513580336	4.18564104454393e-07	0.000174512874282496
Ccl12	80.2680664281412	-3.23054241157734	0.639309937037874	-5.05317096515889	4.34534600898279e-07	0.000174512874282496
Mmp11	1286.69302355119	1.07393297682961	0.212727336812402	5.04840136167677	4.45522396629137e-07	0.000175118739475036
Adamts9	2683.71254143046	-1.09200771948466	0.218146446875735	-5.00584692129647	5.56169446827381e-07	0.000196890005002396
Aen	1954.90223380006	-0.871844252744868	0.17398197562047	-5.01111824736797	5.4114648004608e-07	0.000196890005002396
Shisa2	330.44535937248	1.7328936380502	0.345835911831907	5.01073942515393	5.42212921297744e-07	0.000196890005002396
Cbx4	1400.72299734369	0.856001281508955	0.170747128721056	5.01326896634012	5.3513011255721e-07	0.000196890005002396
Foxf2	1225.63125050348	1.34732546612712	0.269101950015645	5.00674731657943	5.53575207903968e-07	0.000196890005002396
Btg3	1771.85082380454	-0.53508202928085	0.106955209058297	-5.00286086102825	5.64857110811247e-07	0.000196890005002396
H2-DMb2	980.041756202682	1.47858224695143	0.296258731678321	4.99084782607146	6.01148444279828e-07	0.000205659562215288
Card11	1163.64674634462	1.01855914096276	0.204323627926079	4.98502865919776	6.19526292609741e-07	0.000208093249630407
Hspa5	26572.9184652389	-0.970719631454677	0.194976845514214	-4.97864056059882	6.40324323832369e-07	0.000211238420687128
D430019H16Rik	838.799491059213	0.959689569991205	0.192951367129707	4.97373811995889	6.56740151924571e-07	0.000212852939765869
Cyp27a1	1121.17619506568	0.999468584733026	0.201387534159387	4.96291187488298	6.94440959426454e-07	0.000221191418697316
Bmf	2071.22564458635	0.812228985111693	0.163873692743774	4.95643304005884	7.17990957016488e-07	0.000224816354913942
Spib	776.691123008301	1.78797014026471	0.361029743978016	4.95241782730672	7.32970113526954e-07	0.000225681497954949
Aplnr	1621.40711788239	1.54753476624757	0.313422502829128	4.93753560219401	7.91159665832956e-07	0.000235740059138678
Anxa1	12500.07588636	-1.0586233351549	0.214351893767772	-4.93871696931126	7.86382500710433e-07	0.000235740059138678
Lax1	533.055394588453	1.26465831880803	0.257611575612783	4.90916728334032	9.14639342792602e-07	0.000267902154380937
AU020206	6947.65943965728	0.731401578733777	0.149073933946547	4.90630091640321	9.2810100034535e-07	0.000267902154380937
Chst7	264.482346379001	0.773059260459542	0.158141297815013	4.88840847483011	1.01654438512984e-06	0.000272168709723023
Gm15222	195.94556185089	1.14420838861837	0.233907264721521	4.89171804894822	9.99595707317726e-07	0.000272168709723023
Pou2af1	1133.97534899983	1.05596791118708	0.215959144411191	4.88966519137757	1.01007628424154e-06	0.000272168709723023
Zfp213	320.157482005867	0.785461759730683	0.160597688575611	4.89086590658419	1.00393343059888e-06	0.000272168709723023
Stip1	3896.42813853999	-0.899756815447645	0.183978024828184	-4.89056677441733	1.00546041735874e-06	0.000272168709723023
Zfp362	1455.18497871117	0.698160573474543	0.143081343831728	4.87946614686274	1.06373379371693e-06	0.000279559642879405
Wscd1	1169.9273290045	1.05838283177657	0.21710289786579	4.87502857944739	1.08792703549008e-06	0.000279559642879405
Has1	124.664287700362	-1.6660926236309	0.341781181272737	-4.87473481549408	1.08954716289473e-06	0.000279559642879405
Top1	6720.30611084595	-0.636927300168784	0.131252666288932	-4.8526808496727	1.21803622568185e-06	0.00029607896359535
Fcrl1	302.195312538601	1.57995752606094	0.325348679176027	4.85619775701046	1.19661199907879e-06	0.00029607896359535
Plekha8	1108.56478288969	-0.708212891034165	0.14574793569626	-4.85916241386834	1.17883401451891e-06	0.00029607896359535
Mppe1	879.520603737289	0.481389110918527	0.0991815377860398	4.85361612316405	1.21230299825246e-06	0.00029607896359535
9930014A18Rik	524.214105173577	0.968051999390995	0.199634636563205	4.84911844986632	1.24011356768625e-06	0.000297530624018647
