gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Klrb1-ps1	0.755249109163705	0.000119988857190814	0.0270253007378187	0.538588991766314	1
Klra13-ps	20.293528835079	-3.49879920181288e-05	0.00563597293742465	0.497458877095638	1
ENSMUSG00000121360	5.01837542870638	-1.59145483929769e-05	0.00837081578335665	0.801961313512709	1
Gm6600_ENSMUSG00000121361	0.546687721692644	0	0.0377147550109671	1	1
Gm5581	1.14961943745382	-0.000103702374359099	0.0235610686418062	0.552133291079886	1
ENSMUSG00000121376	2.64413793733432	0.000155111527304584	0.0216314506820898	0.311751335901914	1
Alms1-ps2_ENSMUSG00000090098	17.8378131399474	0.000272824749116176	0.0201777889947755	0.063423668657961	1
BC064078	2.42685370958041	7.85176761235343e-05	0.0159733928560961	0.501719484184339	1
ENSMUSG00000121482	137.043474947971	-0.000137209577163563	0.00558692289832531	0.102091221579733	1
Zfp783_ENSMUSG00000121486	125.464812531819	1.43296327235529e-05	0.00456592943349011	0.824046653774119	1
E230015B07Rik	0.389386702811644	4.59420595315241e-05	0.030224601222702	0.823359743192631	1
Lbx2	35.3784037914921	-3.10591079985399e-05	0.00483726886823462	0.583548667848708	1
Nop2	1000.87508877002	4.62988848555317e-05	0.00438885053627744	0.798420214764754	1
Iffo1	1459.59456341527	0.000183705574074509	0.00472841344408752	0.108968315562245	1
Gapdh	16277.5746609127	-0.000104791900061032	0.00448713882322891	0.32525815883803	1
Ncapd2	1126.03048402363	8.72176275771467e-05	0.00486358814892883	0.24864499365583	1
Mrpl51	970.078711395306	-4.03445623261181e-05	0.00443162923978686	0.689594424084768	1
Vamp1	1667.2095534996	1.45778482017209e-05	0.00443036834169565	0.879100537670541	1
Tapbpl	1816.14583966015	0.000375512574173347	0.00582869664265801	0.015727553663525	1
Cd27	297.075045838294	-1.09903584955188e-05	0.00451901917326326	0.873976064506295	1
Gm53066	43.5292522835356	-3.63223921704276e-05	0.00557714725592485	0.484587249567694	1
4930417O13Rik	35.9573403218829	-4.66430295365406e-06	0.00528664009527342	0.922315922260099	1
Tuba3a	4.23370846010611	5.10545948250528e-05	0.0142932257588483	0.634061485189951	1
Ltbr	2834.0500739807	0.000103080045066906	0.00440763345986601	0.475211013257812	1
Scnn1a	16212.0906394411	-6.0727731132753e-05	0.00442547582411549	0.586679768987026	1
Tnfrsf1a	5710.12121721245	-8.21277947164269e-05	0.00439725492946882	0.599365154162586	1
Plekhg6	210.602986106039	-0.000135763938160623	0.00503737276456778	0.128961851529461	1
Gm32673	2.69904620334342	0.00174403754725881	0.0813601598921854	0.0212889206258985	1
Cd9	11576.3240010591	9.2928786396071e-07	0.00440090581606298	0.994300661035768	1
Gm28809	55.7815559792633	-6.57685044478692e-05	0.00516231362105356	0.29832230592174	1
Gm26728	7.95879346619389	5.69478506414948e-05	0.0097850267356323	0.415270771494835	1
Fancd2os	0.604007751563703	-0.000127380922685658	0.0333665377512123	0.562322260927669	1
Brk1	2739.35336879146	-7.08966671575523e-05	0.00442937089626519	0.530007252731233	1
Gm44200	37.4138125465249	-1.92082890662197e-05	0.00538739205902219	0.695154567503761	1
Gm44199	68.2107500812385	-1.40893842156235e-05	0.00499105292626804	0.779709646660419	1
Tatdn2	2145.12974301154	-0.000109484348995793	0.0044035251330953	0.473884132376942	1
Gm44093	1.80729154553068	-0.000112923979026774	0.0240476401553669	0.523772082022733	1
Gm44091	1.42978577452003	-1.56383165105149e-05	0.0195005474738709	0.917641813412917	1
Nfu1	985.287678226072	-7.32034904781665e-06	0.00441035221641391	0.948630445191256	1
Gfpt1	5445.19161117488	-6.81395475300495e-05	0.00441703092255613	0.5735254747324	1
D6Ertd527e	26.1712034155483	5.68605039627227e-06	0.00522089134028768	0.905794444659639	1
Antxr1	7746.08179091783	-5.01219139270305e-05	0.00441093980691933	0.679964761510575	1
Gm44415	18.534046463801	2.22908808128028e-05	0.00530480415561311	0.654055569150822	1
Gm44416	14.4094060876419	5.2298749070871e-05	0.00684478488013308	0.35082500268143	1
Gm44417	9.89674199259044	0.000186820671570432	0.020819513248528	0.193195767037174	1
